service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
sankobus_7275_727507_20260314,0,0,0,0,0,0,1,20260314,20260615
sankobus_7276_727601_20260314,1,0,0,0,0,0,0,20260314,20260615
sankobus_7276_727602_20260314,0,1,0,0,0,0,0,20260314,20260615
sankobus_7276_727603_20260314,0,0,1,0,0,0,0,20260314,20260615
sankobus_7276_727604_20260314,0,0,0,1,0,0,0,20260314,20260615
sankobus_7276_727605_20260314,0,0,0,0,1,0,0,20260314,20260615
sankobus_7276_727606_20260314,0,0,0,0,0,1,0,20260314,20260615
sankobus_7276_727607_20260314,0,0,0,0,0,0,1,20260314,20260615
sankobus_7277_727701_20260314,1,1,1,1,1,0,0,20260314,20260615
sankobus_7277_727706_20260314,0,0,0,0,0,1,0,20260314,20260615
sankobus_7277_727707_20260314,0,0,0,0,0,0,1,20260314,20260615
sankobus_7278_727801_20260314,1,0,0,0,0,0,0,20260314,20260615
sankobus_7278_727802_20260314,0,1,0,0,0,0,0,20260314,20260615
sankobus_7278_727803_20260314,0,0,1,0,0,0,0,20260314,20260615
sankobus_7278_727804_20260314,0,0,0,1,0,0,0,20260314,20260615
sankobus_7278_727805_20260314,0,0,0,0,1,0,0,20260314,20260615
sankobus_7278_727806_20260314,0,0,0,0,0,1,0,20260314,20260615
sankobus_7278_727807_20260314,0,0,0,0,0,0,1,20260314,20260615
sankobus_7280_728001_20260314,1,0,0,0,0,0,0,20260314,20260615
sankobus_7280_728002_20260314,0,1,0,0,0,0,0,20260314,20260615
sankobus_7280_728003_20260314,0,0,1,0,0,0,0,20260314,20260615
sankobus_7280_728004_20260314,0,0,0,1,0,0,0,20260314,20260615
sankobus_7280_728005_20260314,0,0,0,0,1,0,0,20260314,20260615
sankobus_7280_728006_20260314,0,0,0,0,0,1,0,20260314,20260615
sankobus_7280_728007_20260314,0,0,0,0,0,0,1,20260314,20260615
sankobus_7284_728401_20260314,1,0,0,0,0,0,0,20260314,20260615
sankobus_7284_728402_20260314,0,1,0,0,0,0,0,20260314,20260615
sankobus_7284_728403_20260314,0,0,1,0,0,0,0,20260314,20260615
sankobus_7284_728404_20260314,0,0,0,1,0,0,0,20260314,20260615
sankobus_7284_728405_20260314,0,0,0,0,1,0,0,20260314,20260615
sankobus_7284_728406_20260314,0,0,0,0,0,1,0,20260314,20260615
sankobus_7284_728407_20260314,0,0,0,0,0,0,1,20260314,20260615
sankobus_7286_728601_20260314,1,0,0,0,0,0,0,20260314,20260615
sankobus_7286_728602_20260314,0,1,0,0,0,0,0,20260314,20260615
sankobus_7286_728603_20260314,0,0,1,0,0,0,0,20260314,20260615
sankobus_7286_728604_20260314,0,0,0,1,0,0,0,20260314,20260615
sankobus_7286_728605_20260314,0,0,0,0,1,0,0,20260314,20260615
sankobus_7286_728606_20260314,0,0,0,0,0,1,0,20260314,20260615
sankobus_7286_728607_20260314,0,0,0,0,0,0,1,20260314,20260615
sankobus_7287_728701_20260314,1,0,0,0,0,0,0,20260314,20260615
sankobus_7287_728702_20260314,0,1,0,0,0,0,0,20260314,20260615
sankobus_7287_728703_20260314,0,0,1,0,0,0,0,20260314,20260615
sankobus_7287_728704_20260314,0,0,0,1,0,0,0,20260314,20260615
sankobus_7287_728705_20260314,0,0,0,0,1,0,0,20260314,20260615
sankobus_7287_728706_20260314,0,0,0,0,0,1,0,20260314,20260615
sankobus_7287_728707_20260314,0,0,0,0,0,0,1,20260314,20260615
sankobus_7288_728801_20260314,1,1,1,1,1,0,0,20260314,20260615
sankobus_7288_728806_20260314,0,0,0,0,0,1,0,20260314,20260615
sankobus_7288_728807_20260314,0,0,0,0,0,0,1,20260314,20260615
toshibus_11_1_20260104,1,1,1,1,1,0,0,20260104,20260615
toshibus_11_4_20260104,0,0,0,0,0,1,0,20260104,20260615
toshibus_11_7_20260104,0,0,0,0,0,0,1,20260104,20260615
toshibus_12_2_20260104,1,1,1,1,1,0,0,20260104,20260615
toshibus_12_5_20260104,0,0,0,0,0,1,0,20260104,20260615
toshibus_12_8_20260104,0,0,0,0,0,0,1,20260104,20260615
toshibus_13_3_20260104,1,1,1,1,1,0,0,20260104,20260615
toshibus_13_6_20260104,0,0,0,0,0,1,0,20260104,20260615
toshibus_13_9_20260104,0,0,0,0,0,0,1,20260104,20260615
